,화양동_총생활인구수,화양동_20대,화양동_30대,화양동_40대,화양동_50대,화양동_60대,화양동_70대,군자동_총생활인구수,군자동_20대,군자동_30대,군자동_40대,군자동_50대,군자동_60대,군자동_70대,중곡1동_총생활인구수,중곡1동_20대,중곡1동_30대,중곡1동_40대,중곡1동_50대,중곡1동_60대,중곡1동_70대,중곡2동_총생활인구수,중곡2동_20대,중곡2동_30대,중곡2동_40대,중곡2동_50대,중곡2동_60대,중곡2동_70대,중곡3동_총생활인구수,중곡3동_20대,중곡3동_30대,중곡3동_40대,중곡3동_50대,중곡3동_60대,중곡3동_70대,중곡4동_총생활인구수,중곡4동_20대,중곡4동_30대,중곡4동_40대,중곡4동_50대,중곡4동_60대,중곡4동_70대,능동_총생활인구수,능동_20대,능동_30대,능동_40대,능동_50대,능동_60대,능동_70대,광장동_총생활인구수,광장동_20대,광장동_30대,광장동_40대,광장동_50대,광장동_60대,광장동_70대,구의1동_총생활인구수,구의1동_20대,구의1동_30대,구의1동_40대,구의1동_50대,구의1동_60대,구의1동_70대,구의2동_총생활인구수,구의2동_20대,구의2동_30대,구의2동_40대,구의2동_50대,구의2동_60대,구의2동_70대,구의3동_총생활인구수,구의3동_20대,구의3동_30대,구의3동_40대,구의3동_50대,구의3동_60대,구의3동_70대,자양1동_총생활인구수,자양1동_20대,자양1동_30대,자양1동_40대,자양1동_50대,자양1동_60대,자양1동_70대,자양2동_총생활인구수,자양2동_20대,자양2동_30대,자양2동_40대,자양2동_50대,자양2동_60대,자양2동_70대,자양3동_총생활인구수,자양3동_20대,자양3동_30대,자양3동_40대,자양3동_50대,자양3동_60대,자양3동_70대,자양4동_총생활인구수,자양4동_20대,자양4동_30대,자양4동_40대,자양4동_50대,자양4동_60대,자양4동_70대
2017_1분기,43393.43828552547,4324.481935502672,1779.0478092385913,1106.530323031074,1030.2893108106919,723.8425632176459,1354.1945987567206,18703.81960897977,1135.5307585393466,844.4452911946365,624.862976031666,626.769816749072,465.30048461141513,833.9654973246288,16023.246715740206,592.702336077109,731.9978063080038,592.2249441740272,655.0380813568069,503.8729658214126,877.2883770761329,21642.927444711662,865.2453494591655,979.3244115899416,798.4051787506401,818.7309280417948,662.1924372835862,1153.341942392313,16716.362120836533,528.3658937271986,625.5407561663948,621.6033855202733,706.1378750364023,550.996226484095,1047.956533034114,29205.80690341782,946.1515901633705,1092.5119295990942,1084.061521000144,1143.4349410294258,956.4054447876664,1763.574447673451,17191.57615641001,949.5914200928859,831.5708923351094,577.8557086565539,518.3364384952637,430.26788709477404,839.4667340581797,37214.04388948573,1088.6513912126377,1201.8295616215437,1781.6757725378422,1386.768416903482,942.4842344098021,2148.8240134024577,22968.86425422267,1023.0886251528096,1018.8526693548387,868.7690010196653,802.7846950044803,607.3243774749584,1197.2170361911162,20957.655580542756,619.579167593526,825.0699151393688,784.3811041982686,777.7361047091014,665.5087112203181,1224.577702861783,34765.12536851159,1272.8474844750065,1268.2103379444286,1414.859478109799,1338.8636995751729,955.3071504672299,1881.556900731247,24548.82596750832,1147.5245080081124,1028.3673572412633,865.9945552779378,942.1095647325428,696.4761345062084,1362.8202664634537,24590.511428531423,887.6999296798995,1057.425509016577,956.8869872211822,961.4456480286739,740.9823954705101,1290.98729281714,24099.453785759088,955.8796256784435,984.2197758300531,894.9972522037409,917.5013994099622,666.4757986571141,1354.1239451172876,28922.779454389078,1403.2047611991168,1208.3583448384695,1060.6349841737872,1089.6591388748877,849.9900890624999,1523.9653119599654
2017_2분기,45176.49950538978,4671.6128764247305,1756.8585496494177,1102.9553399271954,1000.7418084061379,704.3890771430705,1325.5618853345281,18426.918501488948,1227.6993382048986,796.1250996650984,595.7632557564217,582.672327314068,429.81111342219236,791.263608083184,15564.394213219834,591.7128234860364,723.8304697461172,577.8777218511051,629.3629763978494,488.8259937690412,865.8770388612605,21113.825148025688,852.5090538485664,966.8168583870969,778.735416163381,803.2114961353794,638.7226799637843,1161.5068823155616,16344.776573621566,531.3876740288979,642.4005282224462,602.0649733127988,691.2945291207437,535.7127074130077,1019.8599983124253,29040.75294951165,938.7625104562425,1079.9502362406658,1063.9825421005078,1134.3441979648296,934.9216886846624,1726.8751762776283,18853.79409152031,1053.8546046285096,875.9182620594385,603.9515022386499,533.346056046147,431.78664546370965,875.2684075485364,38904.600480395755,1140.9038508344536,1277.8007712574672,1857.3045907485812,1428.8170297897998,957.620988964307,2188.1025687746414,22383.504484493726,985.0904728685036,996.6152974805855,844.7891172965204,757.0054402139336,581.6656834767026,1156.89245192503,20651.790633272103,605.1747650171744,813.8375057788231,781.3105227023597,759.3448731179063,633.7389546893668,1222.551353425926,32716.37092948477,1222.6937989217442,1223.098309554585,1328.2238655940112,1256.7299382623955,889.5104981544952,1800.7202345937874,24577.106928300476,1168.0074177165473,1023.2671665916218,867.0983948827658,919.7004106421745,680.5329956044653,1337.2292909378732,23714.028668687275,860.0814496337365,1018.5522943895609,921.5398370960274,907.7129325190411,713.227970274791,1243.532159142772,24021.058798007765,961.3509338242981,1000.1443895411439,874.8077877467891,895.9988414000896,663.469651005451,1349.135929309289,27316.109094831245,1396.0573505395012,1136.8468058486408,981.3524497875596,1006.8160454129332,775.8508797782257,1501.4906626717445
2017_3분기,42374.064526196235,4253.366295374104,1736.5236200866186,1095.2038014452658,998.9288199070339,700.6630719922341,1349.6669505324073,18553.471790686977,1175.2682151986262,834.503299618429,622.944677750896,601.6428545168757,454.6327707351404,842.4818472371566,15361.101235610811,584.3771741435185,697.8761987597072,568.7575693962814,619.7694218163829,460.2910867017622,867.0431653838112,20265.648027930107,804.4996421665919,918.0279027292414,747.1918217839008,781.8524611462067,604.0933288470729,1104.978268161589,15625.82240152031,512.9721600100806,636.299883633886,563.6694343932945,667.6382751079003,508.1498752803912,970.0648764665472,30392.261289266728,983.4999981440411,1129.21793911365,1125.459924810708,1172.756524326837,978.5254875294953,1805.749536793608,18222.219602271507,959.8256688567802,879.0464965725806,601.4995860812426,556.0042890083632,466.5253635958034,902.9904027449223,39339.70589587067,1136.369985826613,1266.5105051721177,1886.0410310114246,1430.9892672853196,969.8718036913829,2171.931410828853,22371.01333576762,986.5429682351404,968.7187650537635,839.8499672110215,761.5198833676822,565.5663707582886,1235.1587137522401,18741.16356984767,558.1188401702509,710.9924182586619,693.6717996818994,683.2035468253434,572.4467729790173,1124.1991082108723,34927.585959311524,1360.7859502012398,1305.9766918951611,1409.5550527830048,1311.3239832597822,947.0308843671595,1923.7950321288827,25268.566771451613,1181.813020410693,1058.116263945639,895.0100656201463,929.2446318578255,706.4857269037485,1430.4003001762246,22659.020072420844,836.7579499708781,977.2975800563769,873.4566968742532,855.6327417219236,669.5627448954599,1223.7542720273298,24411.8508930914,969.0271391341845,996.3996067211768,893.5258706350807,903.7931185289725,677.7836941061829,1330.404667753883,27142.635535885605,1377.1501659528076,1134.4298244769263,986.7507044799135,989.2698995067952,762.4819863993429,1477.5642887261054
2017_4분기,45088.763318074976,4842.926513096251,1751.0812714307049,1112.1836927314814,1016.9298291954152,684.0936713366187,1283.7301627912186,20529.655434108423,1427.8244713754482,892.2847886984767,666.2214846385901,641.564890041816,470.24618668010754,894.3322723051075,15998.880879777478,594.5243907321534,731.7837648062276,597.8398379330944,650.8251873667115,473.1729460319594,905.2388210551075,18995.86404682945,720.6785541726404,866.8408827016128,718.903467065039,751.1263706126791,570.210917527255,1037.282867144564,15850.743896754779,502.90286568324376,639.1719890908752,578.6005313530467,679.6571639956691,506.3021062219982,1043.039634455645,30764.09459593937,957.4946840725806,1133.5644622924135,1151.4306651045401,1200.8433770990143,984.5222984699822,1904.5427753569293,18801.69742629182,1049.899146167488,886.6602899178614,611.1631156776433,565.4895764609469,476.9304711267921,881.6268918809737,40340.555037183396,1134.969624352972,1288.8052654678168,1929.6009067200569,1477.8412204185333,997.6370330062724,2211.1074098080944,24117.571784741638,1057.0045252240143,1039.1606593746264,908.43315312388,845.6444825720579,600.7619541782407,1344.1099869937277,18548.785866200717,540.3240675638441,703.8565953039129,700.8466060524939,673.1058564516129,554.0627816819743,1115.6321861305257,32956.18206519863,1241.768972155018,1215.6134718574522,1334.8332660480137,1249.899349858871,882.6408164732676,1841.3635453770905,26152.336702537334,1266.8145212798684,1078.5779760558542,918.3523434651285,976.5631722782258,743.5497163791815,1442.0402345833334,25195.53800180854,896.1602078307945,1082.629607076613,974.1985496016277,958.3401979039724,759.1720172528376,1348.5500989083034,23173.58830780914,857.8177468484918,937.4004608982974,868.4207972550777,881.2459266457587,669.1151585431602,1273.1924349566905,29683.168118708185,1533.7983158859768,1228.7263260420402,1095.38588317839,1186.7453057892772,835.4726204805107,1504.3071058273597
2018_1분기,44052.02008465342,4463.6682147465435,1785.9673516281043,1137.0159287530403,1028.0831995819733,721.345091703869,1293.0115679571493,18515.644986725554,1173.3066998287889,826.8384004104263,607.8936645989344,603.8514595966141,443.64429395441306,842.5300247871864,17289.379665426586,654.0036478938651,807.4740386604741,639.1928695384504,700.0200283498144,491.0809810767889,961.6574535050244,19529.032214967356,750.5388974322356,888.0304472962271,735.6391157710092,758.1903676231278,575.4325685119848,1107.1508576308884,16315.412494532451,524.9355883372535,649.9777817696332,588.7040849762384,703.6994331057189,506.8916124807988,1064.499581513217,29624.09642893625,943.7530680927579,1070.2763712133576,1105.5864400225614,1172.2357042498722,936.7951362111174,1933.2672824804788,17492.070457253267,934.8631766949084,870.2129706469213,575.0230152069732,541.0547545674923,448.560821187356,843.7445246303763,40218.61696791474,1152.448205500352,1258.8135438432062,1927.533799705181,1480.2960976638506,994.9317498511905,2191.8028075716848,23717.753757302868,1053.6266752384154,1048.2247537018368,893.1486451832917,835.5347301755313,598.838363077637,1343.359023310292,22299.371887567206,644.9341885520673,847.4228901697708,852.9391735843093,830.3483240059363,677.3425929979519,1307.3973434395803,33675.18574515169,1261.3490753332214,1237.434141361447,1358.0115949656777,1265.4016850562437,878.9437697764657,1879.8503248391899,27182.39565039522,1281.9663461977568,1142.4983722682252,958.1035596114152,1033.7980779337877,767.536007406074,1513.0368225198415,26209.224886027907,947.1844384684618,1114.6158231474813,1015.6491070688525,1005.2972131132393,791.0671130112328,1401.3883963837686,23648.84365387865,868.2247850766449,949.1365243395577,897.019553920651,909.4547929507489,686.1675003884249,1290.4922829165068,29437.06900081445,1522.3633529461886,1223.4788165694606,1070.1400057443677,1167.0419345242096,828.380102125736,1499.5282883072516
2018_2분기,47389.1418649985,5028.025161908976,1807.8076740285244,1151.2102437966696,1024.5927761409796,721.2089919015083,1303.1884302800179,20404.022633315413,1437.554184354092,883.9603559587813,638.2009484569145,632.3716852617234,453.49340533079453,861.1132656802569,16247.931764153225,622.6474208049582,763.8997076687574,606.2618750018668,660.0363824313022,464.11811168197437,893.70911114546,19994.277419483275,804.9286184684885,925.1627112010901,753.7723418182496,772.2301743484917,587.6229422401433,1081.2771682437276,16265.086459405613,524.7998185233722,654.017080850881,586.6331647248356,712.0987587197579,503.882141802942,1053.2126806556153,28623.623938696237,894.7061353894115,1040.8256119160694,1060.915416019265,1123.944986165248,892.7805746348567,1789.627731247013,19045.827085255372,1076.9768978737306,894.9549125869922,596.9133428953853,542.7013626452359,439.52501836208177,846.6924021251493,40028.14659107527,1131.9527157627688,1263.35271666704,1911.2507986891426,1444.122316795848,940.2536528722371,2111.0449941987754,23441.939374457885,1057.2555298122013,1040.7147502087068,878.6293310569741,802.0455513642473,581.4203651011799,1293.557431448626,24036.21709239994,681.6698084767025,916.0705892760602,946.8526423756721,896.485345607079,693.9473540255376,1379.1637355451014,32514.241229828258,1209.0652800119474,1224.7874093593189,1320.5267353214606,1206.9701942921147,856.997836826837,1843.351993611858,27754.06967469982,1366.169433276583,1165.1931754607228,976.3164081828703,1030.6824714377988,762.4001084565411,1458.7207764545994,25493.167188672345,925.8862200384559,1094.4771739728942,972.4800289568399,978.9106383650687,757.0722607553016,1342.174753603644,23890.73384159498,930.9158708299732,977.1508310334528,898.2134210528674,900.2893119526584,665.773009297715,1260.7424893406512,29122.979415471927,1592.708282621341,1217.1681120418907,1041.6997487668011,1128.0573515397252,797.054798212739,1460.681009115143
2018_3분기,42191.37291187276,4356.048493679063,1696.337486249253,1093.5859815169504,978.7827159195789,677.2915983714157,1269.2170872812123,19155.29686827509,1259.494766322058,875.2793779894713,629.2188685181451,625.1202044407108,438.54594504256266,834.2935035610813,15639.513652146057,604.7930439124103,736.4524631671893,586.4632311480735,627.5027340737007,441.130948254555,854.4145349021804,19467.968681895163,786.6161828166069,904.8445233751494,736.9962132138589,742.6193308908304,569.3529070941607,1019.0403183893369,16647.997264017322,543.7713813956093,661.5900553405017,604.7332781925776,728.8182183971775,511.6926846068548,1050.716065899791,29190.816251581546,928.415535126568,1061.4909513709679,1073.6648816248505,1155.2037733482675,922.8668569093488,1844.057614401135,16194.256957892772,822.6664066957884,809.279089400015,543.4611381567353,497.52544877090804,406.4050121572581,795.3078284460871,40266.02856383961,1127.6062804540024,1235.6600554812574,1897.0635641535991,1462.185223085051,935.9303255458484,2136.053364278674,22666.527281665174,1044.1921202606034,1006.143537987978,869.145976266801,783.0274507459676,547.8740301205944,1246.6581395355436,23487.689409181596,683.1476874630376,903.4697974970131,907.5276811697282,866.7518296733124,678.5508545665323,1381.4025381735364,34576.599834768516,1314.5863350130674,1272.580398727972,1411.9935480219535,1261.6349548293758,909.2985163974762,1895.5715596139487,27815.03942827957,1362.7740447046745,1190.4138604775242,984.0073262466399,1042.5905039366787,756.5498933333333,1505.1584603808242,25708.441398794803,928.7415099062873,1107.7046108505078,980.7000264994026,969.0906132011647,763.7451627232676,1327.6550311133512,23370.05859853943,908.6395525440562,952.6284345374103,879.7857563963561,871.7921551956392,643.3075259953704,1239.3797723178016,29444.23531108274,1575.4405350742982,1233.2740308445343,1065.2079729204004,1154.4264320262098,807.2064776093936,1488.725723710424
2018_4분기,44315.370858536444,4804.954575449522,1735.8303633034648,1099.0256405133662,986.925800184065,683.2745018111559,1236.5116705458483,20624.792258561825,1518.8098473521504,887.9285201773447,651.4106387193847,629.6404238160843,450.4204193033154,842.8447958661887,15796.704048242233,611.9581804237605,750.5428766278375,597.4562270978942,639.9195791756272,463.8558613112305,821.7899666674133,19051.30358083781,751.138115707512,878.904323271356,728.006967088187,735.6001758527478,556.3244483919503,970.1905643339306,16700.269313576762,538.817583145908,666.5739713455795,611.3052198607378,738.2355175358422,530.0628783176523,1050.5044729823776,29533.482755368877,916.052207635902,1079.7102148047343,1075.5483864243577,1178.5982513489398,938.1415683717892,1877.714089071834,16498.948530044803,881.8650009315262,790.9128410644415,549.4327072569445,517.1902362078107,411.2207060353196,782.7919070773596,40979.43071177121,1143.816801736111,1260.1813132493278,1915.841498170923,1457.9246075268818,946.8152075149343,2093.55338260454,23844.87940189068,1093.5359699891726,1047.492371518817,932.3234598629779,833.1861740330047,576.9525334767026,1312.7591700866187,23658.323005689963,679.3150506089456,911.7077050037336,911.5598360648147,875.8981145930406,673.8173281485215,1347.5786882280465,35394.46790149493,1326.0702805921446,1312.2297037212513,1460.3957657810633,1289.5055093630526,943.3260882470878,1884.48464974313,29378.452563988947,1506.5174702979393,1224.5933538026432,1033.343505483124,1080.012033107079,785.9324734852897,1549.0111151695044,24904.016183827658,871.1955198999403,1069.2787247569443,948.7017362018369,935.9527759494473,756.630907203181,1352.6225178285542,24633.530448195936,916.0563059083782,997.1860434957438,935.3174535390531,922.6211765901285,691.815656749552,1276.9031797057944,29211.376929746115,1583.7398575343489,1226.0343146975804,1064.3561033333333,1145.3358342973415,812.9372490919953,1460.5402196378436
2019_1분기,41261.01231285682,4166.286157289266,1671.836352794179,1067.2182436399928,981.3604638360856,702.4074776233679,1241.9095249167947,19267.73820294259,1214.3810836013506,846.9187291430652,645.1871845806131,621.8869906233999,459.428735500672,889.7884518577189,16376.110280509152,645.0025097682251,761.1554014116904,604.5606669470845,665.9842997151818,482.4108012660811,860.6124755992383,19152.020445289298,748.3877588149643,873.8535945648522,717.485982312468,744.5867153273811,561.2744263524866,998.7787789114503,17412.631018543587,557.9262348390297,683.4196969614055,625.8217575816851,771.7763861215117,567.6218784786225,1111.4336680587558,29780.451291833077,945.2241543202764,1081.9275930759568,1081.2527659654218,1218.532984872232,972.957196856199,1929.1052907946107,15183.962910651882,769.5734572544643,722.5189806143594,511.79886553539427,487.4518704729103,398.09238507224455,767.1308509008577,40581.595424532774,1132.0370276589701,1209.392487860423,1891.8561592333908,1440.2246831765233,975.286142547523,2060.977494181228,23914.989939800947,1087.8942072736656,1043.0351210237457,930.0243823620713,855.1802802527362,586.8654123367896,1341.7822818812404,23695.77451017985,694.8161314164107,878.635049093942,906.2423317416315,897.1049633636552,689.7053460417468,1369.6946076652905,34701.29091050787,1295.8138784754224,1264.8797592457918,1405.1148656854039,1267.532326968126,932.0655576548901,1909.9073699620776,28296.494683971774,1331.6293212041571,1180.35263375056,1008.1323829217071,1075.844579279874,798.0993152913787,1575.8592266041026,25037.486718025157,884.2542203969055,1058.5255594450043,944.9499304075462,946.986099751184,778.9447339589733,1379.4920187419993,24126.120120380507,869.0009028109798,953.7712610739087,914.324846295763,914.324891701869,690.4348245019681,1269.3554661018306,28107.63863802003,1410.9123898153482,1163.3763439012098,1039.336715876216,1123.958981577621,818.4684584877432,1483.8513997031812
2019_2분기,43698.504404496714,4597.1362397184885,1699.391133061156,1081.4991221964603,958.6421735203853,674.7021333594683,1204.0105185468938,20058.140465418164,1440.1441904147998,848.4123227673239,632.5253868234767,613.5355395754927,430.50201037037033,857.2147524955197,15490.631563779869,620.860434173387,732.6309570127688,587.0800801780914,631.8987622860664,457.54705097856936,821.5102403905316,18599.59016547043,722.4412675929658,856.3553910909499,707.0628612638142,720.4122144967145,534.7481252594832,953.539466867533,15814.28111280914,502.2936339882019,629.1284745448776,587.673930026135,706.2472372584378,510.0424773577509,1019.6936580055258,27214.77015690562,843.8571075955794,989.823395217294,991.5531721718189,1096.8795452882316,870.9158027135603,1703.7410200059737,16549.62283954152,866.3026311372461,757.8187709427269,546.9176638915023,491.6549765819146,405.962268125,798.0092431869774,38786.085764764044,1075.0125295978944,1159.1203247281958,1824.878236645012,1338.589657152031,911.0370968133961,1905.5035679271205,23567.66921735514,1064.597569562052,1059.2865110398,919.0983271509109,809.5735789157707,568.9587534722223,1243.0869628390085,23446.25378204002,696.487624942503,863.0763713396058,908.464638478196,870.4816889247312,666.9289464710275,1338.8179776926524,33479.4181040905,1230.6971683613351,1240.4302102930853,1380.0137708568548,1209.5295114183841,886.2911223211619,1780.5196919519115,27163.5694432482,1323.2205209345132,1141.9336387966696,964.0267176224611,1007.7067217939815,733.2714888691011,1491.5910810439066,24112.2854052733,853.3507738769414,1034.5748430839305,913.2892781145459,888.4645398853794,724.0343956731631,1318.4382869802869,23144.955957870374,860.0075376777181,914.2697643275836,872.4160636267922,846.7852546912336,642.7159357478345,1177.838954039725,28435.436178200416,1533.57734766017,1181.392449317503,1039.7226338500598,1087.1630085831096,819.2061926657706,1438.5852364411587
